round,totalCost,roundCost
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,980980.55,980980.55
5,2501857.6999999997,1520877.1499999997
6,3146292.1849999996,644434.4849999999
7,3863097.6499999994,716805.4649999999
8,5025772.41,1162674.7600000007
9,5459769.335,433996.9249999998
10,6414267.07,954497.7350000003
11,7772052.98,1357785.9100000001
12,8943821.97,1171768.9900000002
13,10463706.32,1519884.3499999996
14,12029374.255,1565667.9350000005
15,13544630.395000001,1515256.1400000006
16,15073332.395000001,1528702.0
17,16755057.560000002,1681725.165000001
18,18245907.415000003,1490849.8550000004
19,19406035.445,1160128.0299999975
20,20947218.099999998,1541182.6549999975
21,22625125.139999997,1677907.039999999
22,24033385.584999997,1408260.4450000003
23,25662206.324999996,1628820.7399999984
24,26427750.129999995,765543.8049999997
25,27384086.899999995,956336.7699999996
26,28623654.734999996,1239567.835000001
27,28842899.214999996,219244.48000000045
28,29867457.679999996,1024558.4649999999
29,31783471.129999995,1916013.4499999993
30,33116854.424999997,1333383.2950000018
31,34160163.974999994,1043309.549999997
32,35749485.16,1589321.1850000024
33,36087674.089999996,338188.9299999997
34,36929617.595,841943.5050000027
35,38116834.725,1187217.1300000027
36,38824551.92,707717.1950000003
37,40314063.255,1489511.335000001
38,41671531.435,1357468.1799999997
39,43542382.45,1870851.0150000006
40,45339644.440000005,1797261.990000002
41,47240977.065000005,1901332.625
42,49294117.275000006,2053140.210000001
43,50538180.29500001,1244063.0200000033
44,52901303.65500001,2363123.3599999994
45,55046197.68000001,2144894.0249999985
46,56637758.50000001,1591560.8200000003
47,58353156.57500001,1715398.075000003
48,58901933.37500001,548776.799999997
49,60073167.24000001,1171233.865000002
50,61013075.75000001,939908.5099999979
51,61291954.650000006,278878.8999999985
52,62100301.34000001,808346.6900000051
53,63062196.39500001,961895.0549999997
54,63599801.60500001,537605.2100000009
55,64279816.04000001,680014.4349999949
56,65519550.41500001,1239734.375
57,65865937.08500001,346386.6700000018
58,66596611.96500001,730674.8800000027
59,67442068.805,845456.8399999961
60,67900247.025,458178.2199999988
61,69154626.435,1254379.4099999964
62,70073782.16000001,919155.7250000089
63,71901856.45,1828074.2899999917
64,72484445.84,582589.3900000006
65,73885842.44,1401396.599999994
66,75830886.55999999,1945044.1199999899
67,76880361.615,1049475.0550000072
68,78205145.49,1324783.875
69,79759356.345,1554210.8550000042
70,80756581.93,997225.5850000083
71,81912537.61500001,1155955.6850000024
72,82034558.35500002,122020.74000000954
73,82587334.80500002,552776.450000003
74,83160783.66500002,573448.8599999994
75,83432257.49500002,271473.8299999982
76,84223530.35500002,791272.8599999994
77,84792838.99000001,569308.6349999905
78,84893538.575,100699.58499999344
79,85966716.97,1073178.3949999958
80,87074570.37,1107853.400000006
81,87472223.92999999,397653.5599999875
82,87634580.68499999,162356.75499999523
83,89092091.73999998,1457511.0549999923
84,89315820.80999999,223729.07000000775
85,89916327.69999999,600506.8900000006
86,90320862.53,404534.8300000131
87,90887755.745,566893.2150000036
88,91345488.04,457732.2950000018
89,91973753.665,628265.625
90,92843195.57500002,869441.9100000113
91,93806837.25500001,963641.6799999923
92,94691738.79000002,884901.5350000113
93,95737942.67000002,1046203.8799999952
94,96815504.44000001,1077561.7699999958
95,97073640.48,258136.03999999166
96,97437888.18,364247.700000003
97,98869140.325,1431252.1449999958
98,99633723.91,764583.5849999934
99,100026236.3,392512.3900000006
100,101150715.25500001,1124478.955000013
101,102401192.04,1250476.7849999964
102,102944280.495,543088.4549999982
103,103841193.6,896913.1049999893
104,105344060.78999999,1502867.1899999976
105,105645889.38,301828.5900000036
106,105933764.84,287875.46000000834
107,106696947.93,763183.0900000036
108,107116787.525,419839.5949999988
109,108018334.61,901547.0849999934
110,109068978.305,1050643.6950000077
111,110885204.75500001,1816226.450000003
112,111804247.39500001,919042.6400000006
113,113531400.06000002,1727152.6650000066
114,115134792.60500002,1603392.5450000018
115,116386961.76500002,1252169.1599999964
116,117393192.38500002,1006230.6200000048
117,118569355.32500002,1176162.9399999976
118,119579762.81500001,1010407.4899999946
119,120430727.84000002,850965.025000006
120,120878553.45000002,447825.6099999994
121,121669757.70000002,791204.25
122,122421565.86500001,751808.1649999917
123,122792048.36500001,370482.5
124,124076326.2,1284277.8349999934
125,124913956.485,837630.2849999964
126,125626073.145,712116.6599999964
127,126146402.52,520329.375
128,127348237.475,1201834.9549999982
129,128023727.19,675489.7150000036
130,128600922.065,577194.875
131,129673659.82,1072737.7549999952
132,130287392.205,613732.3850000054
133,131809132.16000001,1521739.955000013
134,132861816.52500002,1052684.3650000095
135,134216356.74000002,1354540.2150000036
136,135186985.12000003,970628.3800000101
137,136107767.31500006,920782.1950000226
138,137607824.10500008,1500056.7900000215
139,138438557.23500007,830733.1299999952
140,139889596.10000008,1451038.8650000095
141,141072083.42500007,1182487.324999988
142,142197708.52500007,1125625.099999994
143,143353125.23000008,1155416.705000013
144,143994843.64000008,641718.4099999964
145,144789295.95000008,794452.3100000024
146,145511537.88000008,722241.9300000072
147,145869430.5750001,357892.69500002265
148,146981868.2000001,1112437.625
149,147940314.3950001,958446.1949999928
150,148165718.2000001,225403.80500000715
151,149548596.8500001,1382878.650000006
152,150769929.5000001,1221332.6499999762
153,151144082.98000008,374153.4799999893
154,151671119.20000008,527036.2199999988
155,152839078.2750001,1167959.0750000179
156,153323727.7050001,484649.43000000715
157,154040731.7700001,717004.0649999976
158,154876738.0850001,836006.3149999976
159,155917068.1500001,1040330.0649999976
160,156642742.0450001,725673.8950000107
161,157768790.78000012,1126048.7350000143
162,159747854.84500012,1979064.0649999976
163,160569835.12000012,821980.275000006
164,162134103.71500012,1564268.5949999988
165,163909808.12500012,1775704.4099999964
166,165234383.45500013,1324575.330000013
167,165758372.3550001,523988.89999997616
168,166452289.3250001,693916.9699999988
169,166976379.2650001,524089.9399999976
170,168464270.75500008,1487891.4899999797
171,168551359.0850001,87088.33000001311
172,170159789.9950001,1608430.9099999964
173,171392665.4550001,1232875.4600000083
174,172158151.6350001,765486.1800000072
175,172780009.2300001,621857.5949999988
176,173771841.8450001,991832.6149999797
177,174443141.44500008,671299.599999994
178,175627611.19000006,1184469.744999975
179,177113169.19000006,1485558.0
180,178582233.20000008,1469064.0100000203
181,179702787.51000008,1120554.3100000024
182,181155378.57000008,1452591.0600000024
183,183072365.1450001,1916986.5750000179
184,185474442.4500001,2402077.305000007
185,187446105.8550001,1971663.4050000012
186,189747565.9800001,2301460.125
187,190888159.48500013,1140593.505000025
188,193025536.30000013,2137376.8149999976
189,194845294.40500015,1819758.105000019
190,196158924.73500016,1313630.330000013
191,197286006.04500017,1127081.3100000024
192,198078476.78500018,792470.7400000095
193,199277088.95500016,1198612.169999987
194,200339242.60500014,1062153.6499999762
195,200645021.59500015,305778.99000000954
196,201480778.07000017,835756.4750000238
197,202803671.38500017,1322893.3149999976
198,203928342.88000014,1124671.494999975
199,204882357.01000014,954014.1299999952
200,206094324.62500012,1211967.6149999797
201,206479196.04500014,384871.4200000167
202,207319375.26500013,840179.2199999988
203,208839495.49000013,1520120.224999994
204,209806110.01500013,966614.525000006
205,211743572.08500013,1937462.0699999928
206,213448267.76500013,1704695.6800000072
207,214885205.10000014,1436937.3350000083
208,215706192.34500012,820987.244999975
209,217651191.55000013,1944999.205000013
210,219938213.71000016,2287022.160000026
211,220758298.27000016,820084.5600000024
212,222384860.50000015,1626562.2299999893
213,224090637.84000015,1705777.3400000036
214,225472632.21500015,1381994.375
215,226796340.38000014,1323708.1649999917
216,227097439.27500015,301098.8950000107
217,228592436.61000016,1494997.3350000083
218,229351865.61500016,759429.0049999952
219,229734371.38000014,382505.7649999857
220,230873445.38000014,1139074.0
221,231992731.44500014,1119286.0649999976
222,232716241.76500013,723510.3199999928
223,233420605.08000013,704363.3149999976
224,234577419.21000016,1156814.130000025
225,234907137.83000016,329718.62000000477
226,235442660.51500016,535522.6850000024
227,236404406.48000017,961745.9650000036
228,236744406.03500018,339999.55500000715
229,237970987.16000018,1226581.125
230,239024973.69000018,1053986.5300000012
231,240781452.9600002,1756479.2700000107
232,241297758.1750002,516305.2150000036
233,242876578.1150002,1578819.9399999976
234,244490256.4100002,1613678.2950000167
235,245464740.60500023,974484.1950000226
236,246646560.46000025,1181819.855000019
237,248271780.77000025,1625220.3100000024
238,249587400.49000025,1315619.7199999988
239,250540557.01000026,953156.5200000107
240,250800547.21000028,259990.20000001788
241,251344000.91000026,543453.6999999881
