day,END_OF_GAME_PENDING_KIT_PROCESSING,END_OF_GAME_REMAINING_STOCK,FLIGHT_UNFULFILLED_BUSINESS_CLASS,FLIGHT_UNFULFILLED_ECONOMY_CLASS,FLIGHT_UNFULFILLED_FIRST_CLASS,FLIGHT_UNFULFILLED_PREMIUM_ECONOMY_CLASS,INVENTORY_EXCEEDS_CAPACITY
0,0.0,0.0,3625853.8500000006,6658315.2,824760.5999999997,1315783.8000000003,0.0
1,0.0,0.0,7330976.549999998,11654942.24999999,1417525.7999999998,2707599.899999998,0.0
2,0.0,0.0,5583536.549999998,6435794.3999999985,1930149.6000000008,1785752.3999999997,0.0
3,0.0,0.0,2917312.65,3404925.1499999994,581868.5999999999,903895.5,0.0
4,0.0,0.0,5028684.75,4664701.949999996,981970.2,1465161.0,0.0
5,0.0,0.0,3867647.849999998,3763442.5500000003,1148143.8,1435695.3000000005,0.0
6,0.0,0.0,3886164.4499999997,3593500.049999999,875425.8,1256376.2999999998,0.0
7,0.0,0.0,5758930.8,4690474.949999998,1672469.9999999988,1492173.9000000004,0.0
8,0.0,0.0,3813698.6999999997,3899440.4999999995,1637258.3999999994,1197380.4000000004,217560.0
9,0.0,0.0,2676116.2500000005,3687933.000000003,1081574.4,649785.2999999998,250194.0
10,0.0,0.0,1360181.6999999997,2195408.849999999,582456.0,509283.3,119658.0
11,0.0,0.0,1154033.9999999995,2968698.9,761810.9999999999,494958.3000000001,212121.0
12,0.0,0.0,1354293.4500000004,2546269.5000000005,828521.9999999999,988457.0999999995,212121.0
13,0.0,0.0,2521782.8999999994,2561524.800000001,1037139.6000000001,1116294.5999999999,0.0
14,0.0,0.0,3365666.1000000006,4323342.149999999,2056849.7999999996,1617175.8000000003,48174.0
15,0.0,0.0,3726637.2,3190317.3000000017,2161703.9999999995,1497631.199999999,48174.0
16,0.0,0.0,2084884.2,2507270.4,1671371.4000000001,1042297.8,0.0
17,0.0,0.0,1458300.5999999994,1405705.2000000007,915970.8,860344.8,0.0
18,0.0,0.0,2544154.1999999997,3560384.7000000007,1392321.0000000005,1102877.0999999999,0.0
19,0.0,0.0,2464664.849999999,3305567.400000001,1825351.1999999995,1216472.1,0.0
20,0.0,0.0,2203710.3000000007,2329731.2999999993,1882595.9999999998,1183474.1999999995,0.0
21,0.0,0.0,4715507.249999997,4494836.699999997,2116580.999999999,1904501.4,43512.0
22,0.0,0.0,4362394.499999998,3618878.999999999,2618212.200000001,1766029.5,130536.0
23,0.0,0.0,3503328.7500000005,2818419.149999999,1786586.4000000001,1377813.0,0.0
24,0.0,0.0,1090425.1499999997,2019958.7999999998,1307980.1999999995,800424.2999999998,0.0
25,0.0,0.0,3134326.5,2816372.100000001,1690718.4000000008,1319682.3,205128.0
26,0.0,0.0,2782690.6499999994,3022014.3000000007,1863610.8,1236770.6999999997,68376.0
27,0.0,0.0,2578121.5500000003,3005560.5000000005,1999384.8000000003,1430549.9999999986,0.0
28,0.0,0.0,4286483.1,4328323.049999997,2687296.1999999997,1862126.1000000003,40404.0
29,0.0,0.0,3630697.650000001,4295083.05,2678559.0,1966254.0000000005,20202.0
30,604.5649999999999,27454.70000000001,0.0,0.0,0.0,0.0,0.0
